grade,topic,Code-1,Code-2,Describe
MS,MS.Interdependent Relationships in Ecosystems,MS-LS2-5,LS4.D,Biodiversity and Humans
MS,MS.Interdependent Relationships in Ecosystems,MS-LS2-5,ETS1.B,Developing Possible Solutions
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS1-4,,"Use argument based on empirical evidence and scientific reasoning to support an explanation for how
characteristic animal behaviors and specialized plant structures affect the probability of successful reproduction
of animals and plants respectively."
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS1-5,,"Construct a scientific explanation based on evidence for how environmental and genetic factors influence the
growth of organisms."
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS3-1,,"Develop and use a model to describe why structural changes to genes (mutations) located on chromosomes may
affect proteins and may result in harmful, beneficial, or neutral effects to the structure and function of the
organism. "
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS3-2,,"Develop and use a model to describe why asexual reproduction results in offspring with identical genetic
information and sexual reproduction results in offspring with genetic variation."
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS4-5,,"Gather and synthesize information about technologies that have changed the way humans influence the
inheritance of desired traits in organisms."
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS3-2,LS1.B,Growth and Development of Organisms
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS1-4,LS1.B,Growth and Development of Organisms
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS1-5,LS1.B,Growth and Development of Organisms
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS3-1,LS3.A,Inheritance of Traits
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS3-2,LS3.A,Inheritance of Traits
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS3-1,LS3.B,Variation of Traits
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS3-2,LS3.B,Variation of Traits
MS,"MS.Growth, Development, and Reproduction of Organisms",MS-LS4-5,LS4.B,Natural Selection
MS,MS.Natural Selection and Adaptations,MS-LS4-1,,"Analyze and interpret data for patterns in the fossil record that document the existence, diversity,
extinction, and change of life forms throughout the history of life on Earth under the assumption that
natural laws operate today as in the past."
MS,MS.Natural Selection and Adaptations,MS-LS4-2,,"Apply scientific ideas to construct an explanation for the anatomical similarities and differences among
modern organisms and between modern and fossil organisms to infer evolutionary relationships."
MS,MS.Natural Selection and Adaptations,MS-LS4-3,,"Analyze displays of pictorial data to compare patterns of similarities in the embryological development
across multiple species to identify relationships not evident in the fully formed anatomy."
MS,MS.Natural Selection and Adaptations,MS-LS4-4,,"Construct an explanation based on evidence that describes how genetic variations of traits in a population
increase some individualsÕ probability of surviving and reproducing in a specific environment."
MS,MS.Natural Selection and Adaptations,MS-LS4-6,,"Use mathematical representations to support explanations of how natural selection may lead to increases
and decreases of specific traits in populations over time."
MS,MS.Natural Selection and Adaptations,MS-LS4-1,LS4.A,Evidence of Common Ancestry and Diversity
MS,MS.Natural Selection and Adaptations,MS-LS4-2,LS4.A,Evidence of Common Ancestry and Diversity
MS,MS.Natural Selection and Adaptations,MS-LS4-4,LS4.B,Natural Selection
MS,MS.Natural Selection and Adaptations,MS-LS4-6,LS4.C,Adaptation
MS,MS.Space Systems,MS-ESS1-1,,"Develop and use a model of the Earth-sun-moon system to describe the cyclic patterns of lunar phases,
eclipses of the sun and moon, and seasons."
MS,MS.Space Systems,MS-ESS1-2,,Develop and use a model to describe the role of gravity in the motions within galaxies and the solar system.
MS,MS.Space Systems,MS-ESS1-3,,Analyze and interpret data to determine scale properties of objects in the solar system.
MS,MS.Space Systems,MS-ESS1-1,ESS1.A,The Universe and Its Stars
MS,MS.Space Systems,MS-ESS1-2,ESS1.A,The Universe and Its Stars
MS,MS.Space Systems,MS-ESS1-1,ESS1.B,Earth and the Solar System
MS,MS.Space Systems,MS-ESS1-2,ESS1.B,Earth and the Solar System
MS,MS.Space Systems,MS-ESS1-3,ESS1.B,Earth and the Solar System
MS,MS.History of Earth,MS-ESS1-4,,"Construct a scientific explanation based on evidence from rock strata for how the geologic time scale is used to
organize EarthÕs 4.6-billion-year-old history."
MS,MS.History of Earth,MS-ESS2-2,,"Construct an explanation based on evidence for how geoscience processes have changed EarthÕs surface at
varying time and spatial scales."
MS,MS.History of Earth,MS-ESS2-3,,"Analyze and interpret data on the distribution of fossils and rocks, continental shapes, and seafloor structures to
provide evidence of the past plate motions. "
MS,MS.History of Earth,MS-ESS1-4,ESS1.C,The History of Planet Earth
MS,MS.History of Earth,MS-ESS2-3,ESS1.C,The History of Planet Earth
MS,MS.History of Earth,MS-ESS2-2,ESS2.A,EarthÕs Materials and Systems
MS,MS.History of Earth,MS-ESS2-3,ESS2.B,Plate Tectonics and Large-Scale System Interactions
MS,MS.History of Earth,MS-ESS2-2,ESS2.C,The Roles of Water in EarthÕs Surface Processes
MS,MS.Earth’s Systems,MS-ESS2-1,,Develop a model to describe the cycling of EarthÕs materials and the flow of energy that drives this process.
MS,MS.Earth’s Systems,MS-ESS2-4,,"Develop a model to describe the cycling of water through EarthÕs systems driven by energy from the sun and
the force of gravity."
MS,MS.Earth’s Systems,MS-ESS3-1,,"Construct a scientific explanation based on evidence for how the uneven distributions of EarthÕs mineral,
energy, and groundwater resources are the result of past and current geoscience processes."
MS,MS.Earth’s Systems,MS-ESS2-1,ESS2.A,EarthÕs Materials and Systems
MS,MS.Earth’s Systems,MS-ESS2-4,ESS2.C,The Roles of Water in EarthÕs Surface Processes
MS,MS.Earth’s Systems,MS-ESS3-1,ESS3.A,Natural Resources
MS,MS.Weather and Climate,MS-ESS2-5,,"Collect data to provide evidence for how the motions and complex interactions of air masses result in changes in
weather conditions."
MS,MS.Weather and Climate,MS-ESS2-6,,"Develop and use a model to describe how unequal heating and rotation of the Earth cause patterns of
atmospheric and oceanic circulation that determine regional climates."
MS,MS.Weather and Climate,MS-ESS3-5,,"Ask questions to clarify evidence of the factors that have caused the rise in global temperatures over the past
century."
MS,MS.Weather and Climate,MS-ESS2-5,ESS2.C,The Roles of Water in EarthÕs Surface Processes
MS,MS.Weather and Climate,MS-ESS2-6,ESS2.C,The Roles of Water in EarthÕs Surface Processes
MS,MS.Weather and Climate,MS-ESS2-5,ESS2.D,Weather and Climate
MS,MS.Weather and Climate,MS-ESS2-6,ESS2.D,Weather and Climate
MS,MS.Weather and Climate,MS-ESS3-5,ESS3.D,Global Climate Change
MS,MS.Human Impacts,MS-ESS3-2,,"Analyze and interpret data on natural hazards to forecast future catastrophic events and inform the development
of technologies to mitigate their effects."
MS,MS.Human Impacts,MS-ESS3-3,,"Apply scientific principles to design a method for monitoring and minimizing a human impact on the
environment."
MS,MS.Human Impacts,MS-ESS3-4,,"Construct an argument supported by evidence for how increases in human population and per-capita
consumption of natural resources impact EarthÕs systems."
MS,MS.Human Impacts,MS-ESS3-2,ESS3.B,Natural Hazards
MS,MS.Human Impacts,MS-ESS3-3,ESS3.C,Human Impacts on Earth Systems
MS,MS.Human Impacts,MS-ESS3-4,ESS3.C,Human Impacts on Earth Systems
MS,MS.Engineering Design,MS-ETS1-1,,"Define the criteria and constraints of a design problem with sufficient precision to ensure a successful solution,
taking into account relevant scientific principles and potential impacts on people and the natural environment
that may limit possible solutions."
MS,MS.Engineering Design,MS-ETS1-2,,"Evaluate competing design solutions using a systematic process to determine how well they meet the criteria
and constraints of the problem."
MS,MS.Engineering Design,MS-ETS1-3,,"Analyze data from tests to determine similarities and differences among several design solutions to identify
the best characteristics of each that can be combined into a new solution to better meet the criteria for
success."
MS,MS.Engineering Design,MS-ETS1-4,,"Develop a model to generate data for iterative testing and modification of a proposed object, tool, or process
such that an optimal design can be achieved."
MS,MS.Engineering Design,MS-ETS1-1,ETS1.A,Defining and Delimiting Engineering Problems
MS,MS.Engineering Design,MS-ETS1-2,ETS1.B,Developing Possible Solutions
MS,MS.Engineering Design,MS-ETS1-3,ETS1.B,Developing Possible Solutions
MS,MS.Engineering Design,MS-ETS1-4,ETS1.B,Developing Possible Solutions
MS,MS.Engineering Design,MS-ETS1-3,ETS1.C,Optimizing the Design Solution
MS,MS.Engineering Design,MS-ETS1-4,ETS1.C,Optimizing the Design Solution
HS,HS.Structure and Properties of Matter,HS-PS1-1,,"Use the periodic table as a model to predict the relative properties of elements based on the patterns of
electrons in the outermost energy level of atoms."
HS,HS.Structure and Properties of Matter,HS-PS1-3,,"Plan and conduct an investigation to gather evidence to compare the structure of substances at the bulk scale
to infer the strength of electrical forces between particles."
HS,HS.Structure and Properties of Matter,HS-PS1-8,,"Develop models to illustrate the changes in the composition of the nucleus of the atom and the energy
released during the processes of fission, fusion, and radioactive decay."
HS,HS.Structure and Properties of Matter,HS-PS2-6,,"Communicate scientific and technical information about why the molecular-level structure is important in the
functioning of designed materials."
HS,HS.Structure and Properties of Matter,HS-PS1-1,PS1.A,Structure and Properties of Matter
HS,HS.Structure and Properties of Matter,HS-PS1-3,PS1.A,Structure and Properties of Matter
HS,HS.Structure and Properties of Matter,HS-PS2-6,PS1.A,Structure and Properties of Matter
HS,HS.Structure and Properties of Matter,HS-PS1-8,PS1.C,Nuclear Processes
HS,HS.Structure and Properties of Matter,HS-PS1-1,PS2.B,Types of Interactions
HS,HS.Structure and Properties of Matter,HS-PS1-3,PS2.B,Types of Interactions
HS,HS.Structure and Properties of Matter,HS-PS2-6,PS2.B,Types of Interactions
HS,HS.Chemical Reactions,HS-PS1-2,,"Construct and revise an explanation for the outcome of a simple chemical reaction based on the outermost
electron states of atoms, trends in the periodic table, and knowledge of the patterns of chemical properties."
HS,HS.Chemical Reactions,HS-PS1-4,,"Develop a model to illustrate that the release or absorption of energy from a chemical reaction system
depends upon the changes in total bond energy."
HS,HS.Chemical Reactions,HS-PS1-5,,"Apply scientific principles and evidence to provide an explanation about the effects of changing the
temperature or concentration of the reacting particles on the rate at which a reaction occurs."
HS,HS.Chemical Reactions,HS-PS1-6,,"Refine the design of a chemical system by specifying a change in conditions that would produce increased
amounts of products at equilibrium."
HS,HS.Chemical Reactions,HS-PS1-7,,"Use mathematical representations to support the claim that atoms, and therefore mass, are conserved
during a chemical reaction."
HS,HS.Chemical Reactions,HS-PS1-2,PS1.A,Structure and Properties of Matter
HS,HS.Chemical Reactions,HS-PS1-4,PS1.A,Structure and Properties of Matter
HS,HS.Chemical Reactions,HS-PS1-2,PS1.B,Chemical Reactions
HS,HS.Chemical Reactions,HS-PS1-4,PS1.B,Chemical Reactions
HS,HS.Chemical Reactions,HS-PS1-5,PS1.B,Chemical Reactions
HS,HS.Chemical Reactions,HS-PS1-6,PS1.B,Chemical Reactions
HS,HS.Chemical Reactions,HS-PS1-7,PS1.B,Chemical Reactions
HS,HS.Chemical Reactions,HS-PS1-6,ETS1.C,Optimizing the Design Solution
HS,HS.Forces and Interactions,HS-PS2-1,,"Analyze data to support the claim that NewtonÕs second law of motion describes the mathematical relationship
among the net force on a macroscopic object, its mass, and its acceleration."
HS,HS.Forces and Interactions,HS-PS2-2,,"Use mathematical representations to support the claim that the total momentum of a system of objects is
conserved when there is no net force on the system."
HS,HS.Forces and Interactions,HS-PS2-3,,"Apply scientific and engineering ideas to design, evaluate, and refine a device that minimizes the force on a
macroscopic object during a collision."
HS,HS.Forces and Interactions,HS-PS2-4,,"Use mathematical representations of NewtonÕs Law of Gravitation and CoulombÕs Law to describe and predict
the gravitational and electrostatic forces between objects."
HS,HS.Forces and Interactions,HS-PS2-5,,"Plan and conduct an investigation to provide evidence that an electric current can produce a magnetic field and
that a changing magnetic field can produce an electric current."
HS,HS.Forces and Interactions,HS-PS2-1,PS2.A,Forces and Motion
HS,HS.Forces and Interactions,HS-PS2-2,PS2.A,Forces and Motion
HS,HS.Forces and Interactions,HS-PS2-3,PS2.A,Forces and Motion
HS,HS.Forces and Interactions,HS-PS2-4,PS2.B,Types of Interactions
HS,HS.Forces and Interactions,HS-PS2-5,PS2.B,Types of Interactions
HS,HS.Forces and Interactions,HS-PS2-5,PS3.A,Definitions of Energy
HS,HS.Forces and Interactions,HS-PS2-3,ETS1.A,"Defining and Delimiting Engineering
Problems"
HS,HS.Forces and Interactions,HS-PS2-3,ETS1.C,Optimizing the Design Solution
HS,HS.Energy,HS-PS3-1,,"Create a computational model to calculate the change in the energy of one component in a system when the
change in energy of the other component(s) and energy flows in and out of the system are known."
HS,HS.Energy,HS-PS3-2,,"Develop and use models to illustrate that energy at the macroscopic scale can be accounted for as a
combination of energy associated with the motions of particles (objects) and energy associated with the
relative position of particles (objects)."
HS,HS.Energy,HS-PS3-3,,"Design, build, and refine a device that works within given constraints to convert one form of energy into
another form of energy."
HS,HS.Energy,HS-PS3-4,,"Plan and conduct an investigation to provide evidence that the transfer of thermal energy when two
components of different temperature are combined within a closed system results in a more uniform energy
distribution among the components in the system (second law of thermodynamics)."
HS,HS.Energy,HS-PS3-5,,"Develop and use a model of two objects interacting through electric or magnetic fields to illustrate the forces
between objects and the changes in energy of the objects due to the interaction."
HS,HS.Energy,HS-PS3-1,PS3.A,Definitions of Energy
HS,HS.Energy,HS-PS3-2,PS3.A,Definitions of Energy
HS,HS.Energy,HS-PS3-3,PS3.A,Definitions of Energy
HS,HS.Energy,HS-PS3-1,PS3.B,Conservation of Energy and Energy Transfer
HS,HS.Energy,HS-PS3-4,PS3.B,Conservation of Energy and Energy Transfer
HS,HS.Energy,HS-PS3-5,PS3.C,Relationship Between Energy and Forces
HS,HS.Energy,HS-PS3-3,PS3.D,Energy in Chemical Processes
HS,HS.Energy,HS-PS3-4,PS3.D,Energy in Chemical Processes
HS,HS.Energy,HS-PS3-3,ETS1.A,Defining and Delimiting Engineering Problems
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-1,,"Use mathematical representations to support a claim regarding relationships among the frequency, wavelength,
and speed of waves traveling in various media."
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-2,,Evaluate questions about the advantages of using a digital transmission and storage of information.
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-3,,"Evaluate the claims, evidence, and reasoning behind the idea that electromagnetic radiation can be described
either by a wave model or a particle model, and that for some situations one model is more useful than the other."
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-4,,"Evaluate the validity and reliability of claims in published materials of the effects that different frequencies of
electromagnetic radiation have when absorbed by matter."
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-5,,"Communicate technical information about how some technological devices use the principles of wave behavior
and wave interactions with matter to transmit and capture information and energy."
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-5,PS3.D,Energy in Chemical Processes
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-1,PS4.A,Wave Properties
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-2,PS4.A,Wave Properties
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-3,PS4.A,Wave Properties
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-5,PS4.A,Wave Properties
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-3,PS4.B,Electromagnetic Radiation
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-4,PS4.B,Electromagnetic Radiation
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-5,PS4.B,Electromagnetic Radiation
HS,HS.Waves and Electromagnetic Radiation,HS-PS4-5,PS4.C,"Information Technologies and
Instrumentation"
HS,HS.Structure and Function,HS-LS1-1,,"Construct an explanation based on evidence for how the structure of DNA determines the structure of proteins
which carry out the essential functions of life through systems of specialized cells."
HS,HS.Structure and Function,HS-LS1-2,,"Develop and use a model to illustrate the hierarchical organization of interacting systems that provide specific
functions within multicellular organisms."
HS,HS.Structure and Function,HS-LS1-3,,Plan and conduct an investigation to provide evidence that feedback mechanisms maintain homeostasis.
HS,HS.Structure and Function,HS-LS1-1,LS1.A,Structure and Function
HS,HS.Structure and Function,HS-LS1-2,LS1.A,Structure and Function
HS,HS.Structure and Function,HS-LS1-3,LS1.A,Structure and Function
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS1-5,,Use a model to illustrate how photosynthesis transforms light energy into stored chemical energy.
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS1-6,,"Construct and revise an explanation based on evidence for how carbon, hydrogen, and oxygen from sugar
molecules may combine with other elements to form amino acids and/or other large carbon-based molecules."
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS1-7,,"Use a model to illustrate that cellular respiration is a chemical process whereby the bonds of food molecules and
oxygen molecules are broken and the bonds in new compounds are formed resulting in a net transfer of energy."
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS2-3,,"Construct and revise an explanation based on evidence for the cycling of matter and flow of energy in aerobic and
anaerobic conditions."
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS2-4,,"Use mathematical representations to support claims for the cycling of matter and flow of energy among
organisms in an ecosystem."
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS2-5,,"Develop a model to illustrate the role of photosynthesis and cellular respiration in the cycling of carbon among
the biosphere, atmosphere, hydrosphere, and geosphere."
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS1-5,LS1.C,"Organization for Matter and Energy Flow in
Organisms"
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS1-6,LS1.C,"Organization for Matter and Energy Flow in
Organisms"
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS1-7,LS1.C,"Organization for Matter and Energy Flow in
Organisms"
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS2-3,LS2.B,Cycles of Matter and Energy Transfer in Ecosystems
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS2-4,LS2.B,Cycles of Matter and Energy Transfer in Ecosystems
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS2-5,LS2.B,Cycles of Matter and Energy Transfer in Ecosystems
HS,HS.Matter and Energy in Organisms and Ecosystems,HS-LS2-5,PS3.D,Energy in Chemical Processes
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-1,,"Use mathematical and/or computational representations to support explanations of factors that affect
carrying capacity of ecosystems at different scales."
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-2,,"Use mathematical representations to support and revise explanations based on evidence about factors
affecting biodiversity and populations in ecosystems of different scales."
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-6,,"Evaluate the claims, evidence, and reasoning that the complex interactions in ecosystems maintain relatively
consistent numbers and types of organisms in stable conditions, but changing conditions may result in a new
ecosystem."
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-7,,"Design, evaluate, and refine a solution for reducing the impacts of human activities on the environment and
biodiversity."
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-8,,"Evaluate the evidence for the role of group behavior on individual and speciesÕ chances to survive and
reproduce."
HS,HS.Interdependent Relationships in Ecosystems,HS-LS4-6,,Create or revise a simulation to test a solution to mitigate adverse impacts of human activity on biodiversity.
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-1,LS2.A,Interdependent Relationships in Ecosystems
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-2,LS2.A,Interdependent Relationships in Ecosystems
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-2,LS2.C,"Ecosystem Dynamics, Functioning, and
Resilience"
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-6,LS2.C,"Ecosystem Dynamics, Functioning, and
Resilience"
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-7,LS2.C,"Ecosystem Dynamics, Functioning, and
Resilience"
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-8,LS2.D,Social Interactions and Group Behavior
HS,HS.Interdependent Relationships in Ecosystems,HS-LS4-6,LS4.C,Adaptation
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-7,LS4.D,Biodiversity and Humans
HS,HS.Interdependent Relationships in Ecosystems,HS-LS4-6,LS4.D,Biodiversity and Humans
HS,HS.Interdependent Relationships in Ecosystems,HS-LS2-7,ETS1.B,Developing Possible Solutions
HS,HS.Interdependent Relationships in Ecosystems,HS-LS4-6,ETS1.B,Developing Possible Solutions
HS,HS.Inheritance and Variation of Traits,HS-LS1-4,,"Use a model to illustrate the role of cellular division (mitosis) and differentiation in producing and maintaining
complex organisms."
HS,HS.Inheritance and Variation of Traits,HS-LS3-1,,"Ask questions to clarify relationships about the role of DNA and chromosomes in coding the instructions for
characteristic traits passed from parents to offspring."
HS,HS.Inheritance and Variation of Traits,HS-LS3-2,,"Make and defend a claim based on evidence that inheritable genetic variations may result from: (1) new genetic
combinations through meiosis, (2) viable errors occurring during replication, and/or (3) mutations caused by
environmental factors."
HS,HS.Inheritance and Variation of Traits,HS-LS3-3,,"Apply concepts of statistics and probability to explain the variation and distribution of expressed traits in a
population."
HS,HS.Inheritance and Variation of Traits,HS-LS3-1,LS1.A,Structure and Function
HS,HS.Inheritance and Variation of Traits,HS-LS1-4,LS1.B,Growth and Development of Organisms
HS,HS.Inheritance and Variation of Traits,HS-LS3-1,LS3.A,Inheritance of Traits
HS,HS.Inheritance and Variation of Traits,HS-LS3-2,LS3.B,Variation of Traits
HS,HS.Inheritance and Variation of Traits,HS-LS3-3,LS3.B,Variation of Traits
HS,HS.Natural Selection and Evolution,HS-LS4-1,,"Communicate scientific information that common ancestry and biological evolution are supported by multiple
lines of empirical evidence."
HS,HS.Natural Selection and Evolution,HS-LS4-2,,"Construct an explanation based on evidence that the process of evolution primarily results from four factors: (1)
the potential for a species to increase in number, (2) the heritable genetic variation of individuals in a species due
to mutation and sexual reproduction, (3) competition for limited resources, and (4) the proliferation of those
organisms that are better able to survive and reproduce in the environment."
HS,HS.Natural Selection and Evolution,HS-LS4-3,,"Apply concepts of statistics and probability to support explanations that organisms with an advantageous
heritable trait tend to increase in proportion to organisms lacking this trait."
HS,HS.Natural Selection and Evolution,HS-LS4-4,,Construct an explanation based on evidence for how natural selection leads to adaptation of populations.
HS,HS.Natural Selection and Evolution,HS-LS4-5,,"Evaluate the evidence supporting claims that changes in environmental conditions may result in: (1) increases in
the number of individuals of some species, (2) the emergence of new species over time, and (3) the extinction of
other species."
HS,HS.Natural Selection and Evolution,HS-LS4-1,LS4.A,Evidence of Common Ancestry and Diversity
HS,HS.Natural Selection and Evolution,HS-LS4-2,LS4.B,Natural Selection
HS,HS.Natural Selection and Evolution,HS-LS4-3,LS4.B,Natural Selection
HS,HS.Natural Selection and Evolution,HS-LS4-2,LS4.C,Adaptation
HS,HS.Natural Selection and Evolution,HS-LS4-3,LS4.C,Adaptation
HS,HS.Natural Selection and Evolution,HS-LS4-4,LS4.C,Adaptation
HS,HS.Natural Selection and Evolution,HS-LS4-5,LS4.C,Adaptation
HS,HS.Space Systems,HS-ESS1-1,,"Develop a model based on evidence to illustrate the life span of the sun and the role of nuclear fusion in the
sunÕs core to release energy that eventually reaches Earth in the form of radiation."
HS,HS.Space Systems,HS-ESS1-2,,"Construct an explanation of the Big Bang theory based on astronomical evidence of light spectra, motion of
distant galaxies, and composition of matter in the universe."
HS,HS.Space Systems,HS-ESS1-3,,"Communicate scientific ideas about the way stars, over their life cycle, produce elements."
HS,HS.Space Systems,HS-ESS1-4,,"Use mathematical or computational representations to predict the motion of orbiting objects in the solar
system."
HS,HS.Space Systems,HS-ESS1-1,ESS1.A,The Universe and Its Stars
HS,HS.Space Systems,HS-ESS1-2,ESS1.A,The Universe and Its Stars
HS,HS.Space Systems,HS-ESS1-3,ESS1.A,The Universe and Its Stars
HS,HS.Space Systems,HS-ESS1-4,ESS1.B,Earth and the Solar System
HS,HS.Space Systems,HS-ESS1-1,PS3.D,"Energy in Chemical Processes and Everyday
Life"
HS,HS.Space Systems,HS-ESS1-2,PS4.B,Electromagnetic Radiation
HS,HS.History of Earth,HS-ESS1-5,,"Evaluate evidence of the past and current movements of continental and oceanic crust and the theory of plate
tectonics to explain the ages of crustal rocks."
HS,HS.History of Earth,HS-ESS1-6,,"Apply scientific reasoning and evidence from ancient Earth materials, meteorites, and other planetary
surfaces to construct an account of EarthÕs formation and early history."
HS,HS.History of Earth,HS-ESS2-1,,"Develop a model to illustrate how EarthÕs internal and surface processes operate at different spatial and
temporal scales to form continental and ocean-floor features."
HS,HS.History of Earth,HS-ESS1-5,ESS1.C,The History of Planet Earth
HS,HS.History of Earth,HS-ESS1-6,ESS1.C,The History of Planet Earth
HS,HS.History of Earth,HS-ESS2-1,ESS2.A,Earth Materials and Systems
HS,HS.History of Earth,HS-ESS1-5,ESS2.B,"Plate Tectonics and Large-Scale System
Interactions"
HS,HS.History of Earth,HS-ESS2-1,ESS2.B,"Plate Tectonics and Large-Scale System
Interactions"
HS,HS.History of Earth,HS-ESS1-5,PS1.C,Nuclear Processes
HS,HS.History of Earth,HS-ESS1-6,PS1.C,Nuclear Processes
HS,HS.Earth’s Systems,HS-ESS2-2,,"Analyze geoscience data to make the claim that one change to EarthÕs surface can create feedbacks that
cause changes to other Earth systems."
HS,HS.Earth’s Systems,HS-ESS2-3,,Develop a model based on evidence of EarthÕs interior to describe the cycling of matter by thermal convection.
HS,HS.Earth’s Systems,HS-ESS2-5,,"Plan and conduct an investigation of the properties of water and its effects on Earth materials and surface
processes."
HS,HS.Earth’s Systems,HS-ESS2-6,,"Develop a quantitative model to describe the cycling of carbon among the hydrosphere, atmosphere,
geosphere, and biosphere."
HS,HS.Earth’s Systems,HS-ESS2-7,,"Construct an argument based on evidence about the simultaneous coevolution of EarthÕs systems and life on
Earth."
HS,HS.Earth’s Systems,HS-ESS2-2,ESS2.A,Earth Materials and Systems
HS,HS.Earth’s Systems,HS-ESS2-3,ESS2.A,Earth Materials and Systems
HS,HS.Earth’s Systems,HS-ESS2-3,ESS2.B,"Plate Tectonics and Large-Scale System
Interactions"
HS,HS.Earth’s Systems,HS-ESS2-5,ESS2.C,The Roles of Water in EarthÕs Surface Processes
HS,HS.Earth’s Systems,HS-ESS2-2,ESS2.D,Weather and Climate
HS,HS.Earth’s Systems,HS-ESS2-6,ESS2.D,Weather and Climate
HS,HS.Earth’s Systems,HS-ESS2-7,ESS2.D,Weather and Climate
HS,HS.Earth’s Systems,HS-ESS2-7,ESS2.E,Biogeology
HS,HS.Earth’s Systems,HS-ESS2-3,PS4.A,Wave Properties
HS,HS.Weather and Climate,HS-ESS2-4,,"Use a model to describe how variations in the flow of energy into and out of EarthÕs systems result in
changes in climate."
HS,HS.Weather and Climate,HS-ESS3-5,,"Analyze geoscience data and the results from global climate models to make an evidence-based forecast of
the current rate of global or regional climate change and associated future impacts to Earth systems."
HS,HS.Weather and Climate,HS-ESS2-4,ESS1.B,Earth and the Solar System
HS,HS.Weather and Climate,HS-ESS2-4,ESS2.A,Earth Materials and Systems
HS,HS.Weather and Climate,HS-ESS2-4,ESS2.D,Weather and Climate
HS,HS.Weather and Climate,HS-ESS3-5,ESS3.D,Global Climate Change
HS,HS.Human Sustainability,HS-ESS3-1,,"Construct an explanation based on evidence for how the availability of natural resources, occurrence of
natural hazards, and changes in climate have influenced human activity."
HS,HS.Human Sustainability,HS-ESS3-2,,"Evaluate competing design solutions for developing, managing, and utilizing energy and mineral resources
based on cost-benefit ratios."
HS,HS.Human Sustainability,HS-ESS3-3,,"Create a computational simulation to illustrate the relationships among management of natural resources,
the sustainability of human populations, and biodiversity."
HS,HS.Human Sustainability,HS-ESS3-4,,Evaluate or refine a technological solution that reduces impacts of human activities on natural systems.
HS,HS.Human Sustainability,HS-ESS3-6,,"Use a computational representation to illustrate the relationships among Earth systems and how those
relationships are being modified due to human activity."
HS,HS.Human Sustainability,HS-ESS3-6,ESS2.D,Weather and Climate
HS,HS.Human Sustainability,HS-ESS3-1,ESS3.A,Natural Resources
HS,HS.Human Sustainability,HS-ESS3-2,ESS3.A,Natural Resources
HS,HS.Human Sustainability,HS-ESS3-1,ESS3.B,Natural Hazards
HS,HS.Human Sustainability,HS-ESS3-3,ESS3.C,Human Impacts on Earth Systems
